This	May 19, 1963	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE GLASS BLOWERS, by Daphne du Maurier	3	7
""			
2	SEVEN DAYS IN MAY, by Fletcher Knebel and Charles W. Bailey II.	2	34
""			
3	RAISE HIGH THE ROOF BEAM, CARPENTERS, by J.D. Salinger	1	14
""			
4	GRANDMOTHER AND THE PRIESTS, by Taylor Caldwell.	5	7
""			
5	THE SAND PEBBLES, by Richard McKenna.	4	18
""			
6	THE MOONFLOWER VINE, by Jetta Carleton	6	13
""			
7	THE TIN DRUM, by Gunter Grass.	9	4
""			
8	THE CENTAUR, by John Updike	10	10
""			
9	THE BEDFORD INCIDENT, by Mark Rascovich.	--	1
""			
10	FAIL-SAFE, by Eugene Burdick and Harvey Wheeler.	7	29
This	May 19, 1963	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE WHOLE TRUTH AND NOTHING BUT, by Hedda Hopper.	2	11
""			
2	TRAVELS WITH CHARLEY, by John Steinbeck.	1	41
""			
3	HAPPINESS IS A WARM PUPPY, by Charles M. Schulz.	3	22
""			
4	THE ORDEAL OF POWER, by Emmet John Hughes.	4	7
""			
5	O YE JIGS & JULEPS!, by Virginia Cary Hudson.	6	52
""			
6	FINAL VERDICT, by Adela Rogers St. Johns.	5	36
""			
7	THE GREAT HUNGER, by Cecil Woodham-Smith.	8	4
""			
8	THE FIRE NEXT TIME, by James Baldwin	7	12
""			
9	FOREVER FREE, by Joy Adamson	--	1
""			
10	THE FEMININE MYSTIQUE, by Betty Friedan	--	2
