This	January 8, 1984	Last	Weeks
Week	Fiction	Week	On List
""			
1	POLAND, by James A. Michener. (Random House, $17.95.) Seven centuries of	1	19
""	history in fictional form.		
""			
2	PET SEMATARY, by Stephen King. (Doubleday, $15.95.) The new family in town	2	10
""	discovers the horrors that lie in a neighboring cemetery.		
""			
3	THE NAME OF THE ROSE, by Umberto Eco. (Helen & Kurt Wolff/Harcourt Brace	3	29
""	Jovanovich, $15.95.) Unraveling the mystery of a murder in a 14th-century Italian		
""	monastery.		
""			
4	WHO KILLED THE ROBINS FAMILY?, created by Bill Adler and written by	4	19
""	Thomas Chastain. (Morrow, $9.95.) The publisher offers a $10,000 prize to the		
""	reader who submits the best answer.		
""			
5	THE WICKED DAY, by Mary Stewart. (Morrow, $16.95.) King Arthur, fulfilling a	5	8
""	prophecy made by Merlin, falls into an incestuous relationship.		
""			
6	THE ROBOTS OF DAWN, by Isaac Asimov. (Doubleday, $15.95.) A detective	6	8
""	from Earth investigates the murder of a robot on the planet Aurora.		
""			
7	CHANGES, by Danielle Steel. (Delacorte, $15.95.) The crises that arise when a	7	18
""	television anchorwoman and a glamorous physician fall in love.		
""			
8	THE SAGA OF BABY DIVINE, by Bette Midler. (Crown, $11.95.) The entertainer	9	10
""	imagines what her infancy was like in a fable lushly illustrated by Todd Schorr.		
""			
9	RETURN OF THE JEDI, adapted by Joan D. Vinge. (Random House, $6.95.)	10	31
""	Illustrated storybook based on the latest ''Star Wars'' film.		
""			
10	BERLIN GAME, by Len Deighton. (Knopf, $15.95.) Espionage on both sides of the	12	3
""	Iron Curtain.		
""			
11	THE NEVERENDING STORY, by Michael Ende. (Doubleday, $15.95.) A lonely	11	6
""	boy meets challenges and finds his true self in a magical land.		
""			
12	MORETA: DRAGONLADY OF PERN, by Anne McCaffrey. (Del Rey/Ballantine,	8	8
""	$14.95.) A battle against ecological disaster on a faraway planet.		
""			
13	HOLLYWOOD WIVES, by Jackie Collins. (Simon & Schuster, $16.95.) The	13	23
""	struggle for money and power in Tinsel Town.		
""			
14	THE AUERBACH WILL, by Stephen Birmingham. (Little, Brown, $16.95.) Three	14	16
""	generations of a German-Jewish family in New York.		
""			
15	WINTER'S TALE, by Mark Helprin. (Harcourt Brace Jovanovich, $14.95.) Heroic	15	16
""	lives in Manhattan between the late 19th century and the year 2000.		
This	January 8, 1984	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MOTHERHOOD: The Second Oldest Profession, by Erma Bombeck. (McGraw-	1	16
""	Hill, $12.95.) A humorous look at the biggest on-the-job training program ever.		
""			
2	THE BEST OF JAMES HERRIOT. (St. Martin's Press, $19.95.) Selections from	2	17
""	the writings of the Yorkshire veterinarian.		
""			
3	IN SEARCH OF EXCELLENCE, by Thomas J. Peters and Robert H. Waterman Jr.	3	52
""	(Harper & Row, $19.95.) Lessons to be learned from well-run American		
""	corporations.		
""			
4	ON WINGS OF EAGLES, by Ken Follett. (Morrow, $17.95.) The rescue of two	5	19
""	Americans from an Iranian prison.		
""			
5	WHILE REAGAN SLEPT, by Art Buchwald. (Putnam, $14.95.) Seven score wry	4	7
""	observations on the Washington scene by the syndicated columnist.		
""			
6	MEGATRENDS, by John Naisbitt. (Warner, $17.50.) Predictions about America in	6	61
""	the next decade based on an analysis of conditions today.		
""			
7	VIETNAM: A History, by Stanley Karnow. (Viking, $22.50.) Profusely illustrated	7	12
""	history of the war: tie-in with the recent PBS television series.		
""			
8	TOUGH TIMES NEVER LAST, BUT TOUGH PEOPLE DO! by Robert H. Schuller.	8	11
""	(Thomas Nelson, $12.95.) Inspiration from a Protestant preacher.		
""			
9	ONE BRIEF SHINING MOMENT, by William Manchester. (Little, Brown, $25.) A	10	4
""	profusely illustrated tribute to John F. Kennedy.		
""			
10	BLUE HIGHWAYS, by William Least Heat Moon. (Atlantic/Little, Brown, $17.50.) A	11	38
""	report on a trip through the back roads of America.		
""			
11	A LIGHT IN THE ATTIC, by Shel Silverstein. (Harper & Row, $12.45.) Light verse	13	74
""	and drawings by the author.		
""			
12	A HERO FOR OUR TIMES, by Ralph G. Martin. (Macmillan, $19.95.) An	14	8
""	anecdotal account of the Kennedy years.		
""			
13	THE DISCOVERERS, by Daniel J. Boorstin. (Random, $25.) Man's search to	--	1
""	know himself and the world over the centuries.		
""			
14	LATE NIGHT THOUGHTS ON LISTENING TO MAHLER'S NINTH SYMPHONY,	--	1
""	by Lewis Thomas. (Viking, $12.95.) Essays on a wide range of subjects by the		
""	physician-medical administrator.		
""			
15	THE KINGDOM BY THE SEA, by Paul Theroux. (Houghton Mifflin, $16.95.) A	15	3
""	novelist's journey around Great Britain.		
