This	August 14, 1988	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE CARDINAL OF THE KREMLIN, by Tom Clancy. (Putnam, $19.95.) The	1	2
""	C.I.A.'s Jack Ryan races to the rescue of America's highest-ranking secret agent		
""	in the Soviet Union.		
""			
2	ALASKA, by James A. Michener. (Random House, $22.50.) The history of the	2	7
""	49th state told in fictional form.		
""			
3	TO BE THE BEST, by Barbara Taylor Bradford. (Doubleday, $19.95.) The Harte	3	6
""	department store dynasty, founded by ''a woman of substance,'' undergoes		
""	emotional and financial strains.		
""			
4	DOCTORS, by Erich Segal. (Bantam, $19.95.) The life stories of five members of	8	3
""	Harvard Medical School's class of 1962.		
""			
5	THE BONFIRE OF THE VANITIES, by Tom Wolfe. (Farrar, Straus & Giroux,	4	41
""	$19.95.) A bond trader caught in the jungles of New York.		
""			
6	ZOYA, by Danielle Steel. (Delacorte, $19.95.) One woman's story, from St.	5	14
""	Petersburg during the Russian Revolution to contemporary New York.		
""			
7	TIMOTHY'S GAME, by Lawrence Sanders. (Putnam, $18.95.) A stock market	6	5
""	operator investigates scams on Wall Street.		
""			
8	LOVE IN THE TIME OF CHOLERA, by Gabriel Garcia Marquez. (Knopf, $18.95.)	7	17
""	A Colombian poet's perdurable love for a woman is tested by life's changing		
""	conditions.		
""			
9	TILL WE MEET AGAIN, by Judith Krantz. (Crown, $19.95.) The exploits of a	--	1
""	woman and her two daughters from pre-World War I Paris to present-day Los		
""	Angeles.		
""			
10	THE ICARUS AGENDA, by Robert Ludlum. (Random House, $19.95.) A	9	23
""	congressman's secret dealings with terrorists may bring him the Presidency - or		
""	death.		
""			
11	A THIEF OF TIME, by Tony Hillerman. (Harper & Row, $15.95.) Tracking down a	10	6
""	missing archeologist, missing artifacts and a murderer in the Indian ruins of New		
""	Mexico.		
""			
12	THE SHELL SEEKERS, by Rosamunde Pilcher. (St. Martin's, $19.95.) A woman	11	26
""	and a painting tie together three generations of an English family.		
""			
13	LIBRA, by Don DeLillo. (Viking, $19.95.) Fictional speculation that President	--	1
""	Kennedy's assassination was the result of a C.I.A. conspiracy.		
""			
14	PEOPLE LIKE US, by Dominick Dunne. (Crown, $19.95.) The rivalry of two clans	12	14
""	in New York society and one man's role in it.		
This	August 14, 1988	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	A BRIEF HISTORY OF TIME, by Stephen W. Hawking. (Bantam, $18.95.) A	1	17
""	British scientist's review of efforts to create a unified theory of the universe.		
""			
2	TRUMP, by Donald J. Trump with Tony Schwartz. (Random House, $19.95.) The	4	35
""	career and business style of the New York entrepreneur.		
""			
3	TALKING STRAIGHT, by Lee Iacocca with Sonny Kleinfield. (Bantam, $21.95.)	2	9
""	More experiences and opinions of the Chrysler chairman.		
""			
4	GENERATION OF SWINE, by Hunter S. Thompson. (Summit, $18.95.)	3	5
""	Commentary on the current decade.		
""			
5	THE DUCHESS OF WINDSOR, by Charles Higham. (McGraw-Hill, $17.95.) The	5	4
""	life of the woman from Baltimore who married King Edward VIII.		
""			
6	RIDING THE IRON ROOSTER, by Paul Theroux. (Putnam, $21.95.) A yearlong	8	9
""	journey by train through China.		
""			
7	CAPOTE, by Gerald Clarke. (Simon & Schuster, $22.95.) The life of Truman	11	8
""	Capote.		
""			
8	THRIVING ON CHAOS, by Tom Peters. (Knopf, $19.95.) The author discusses	10	39
""	ways for companies to survive in today's and tomorrow's turbulent world.		
""			
9	A TRAIL OF MEMORIES, edited by Angelique L'Amour. (Bantam, $12.95.)	6	9
""	Quotations from the works of Louis L'Amour, compiled by his daughter.		
""			
10	THE RISE AND FALL OF THE GREAT POWERS, by Paul Kennedy. (Random	13	28
""	House, $24.95.) How economic and military forces affected the fortunes of great		
""	nations in the past 500 years.		
""			
11	CHAOS, by James Gleick. (Viking, $19.95.) An account of a fast-developing new	15	26
""	science that involves disorder, arrhythmia and the bizarre and the random in		
""	nature.		
""			
12	PICASSO, by Arianna Stassinopoulos Huffington. (Simon & Schuster, $22.95.) A	7	8
""	portrait of the artist as ''creator and destroyer.''		
""			
13	SENATORIAL PRIVILEGE, by Leo Damore. (Regnery Gateway, $19.95.) A	--	1
""	reporter's reassessment of the 1969 accident on Chappaquiddick Island.		
""			
14	ALMOST GOLDEN, by Gwenda Blair. (Simon & Schuster, $18.95.) The career of	9	2
""	the television anchorwoman Jessica Savitch and the ways of newscasting during		
""	the past two decades.		
""			
15	THE DUKE OF FLATBUSH, by Duke Snider with Bill Gilbert. (Zebra, $17.95.) The	--	2
""	glory days of the Brooklyn Dodgers, recalled by a member of the team.		
