This	February 17, 1980	Last	Weeks
Week	Fiction	Week	On List
""			
1	PRINCESS DAISY, by Judith Krantz. (Crown, $12.95.) The fight for survival in the	2	3
""	world of glitter, from St. Petersburg to Big Sur.		
""			
2	SMILEY'S PEOPLE, by John le Carré. (Knopf, $10.95.) The great British spy has	1	9
""	a final confrontation with his Russian counterpart.		
""			
3	THE DEVIL'S ALTERNATIVE, by Frederick Forsyth. (Viking, $12.95.) Countdown	3	3
""	to global doom in 1982.		
""			
4	TRIPLE, by Ken Follett. (Arbor House, $10.95.) Power play between intelligence	4	24
""	agents in the Middle East.		
""			
5	"PORTRAITS, by Cynthia Freeman. (Arbor House, $9.95.) The Sansonitskys of ""A"	6	7
""	"World Full of Strangers"" reach the 1920's and 30's."		
""			
6	JAILBIRD, by Kurt Vonnegut. (Delacorte/Seymour Lawrence, $9.95.) From World	5	22
""	War II to Watergate: one man's fumbling career.		
""			
7	THE TOP OF THE HILL, by Irwin Shaw. (Delacorte, $8.95.) A jaded New Yorker	9	10
""	courts danger in New England.		
""			
8	SOPHIE'S CHOICE, by William Styron. (Random House, $12.95.) The nature of	10	35
""	evil explored through the story of two doomed lovers.		
""			
9	MEMORIES OF ANOTHER DAY, by Harold Robbins. (Simon & Schuster, $10.95.)	7	14
""	Saga of the American labor movement.		
""			
10	THE THIRD WORLD WAR: August 1985, by General Sir John Hackett and Other	14	37
""	Top-ranking NATO Generals and Advisors. (Macmillian, $12.95.) A history of the		
""	global war to come.		
""			
11	THE ESTABLISHMENT, by Howard Fast. (Houghton Mifflin, $11.95.) The	8	19
""	"Lavettes of ""The Immigrants"" and ""Second Generation"" survive and prosper in"		
""	post-World War II America.		
""			
12	THE DEAD ZONE, by Stephen King. (Viking, $11.95.) Johnny Smith can see the	12	24
""	future and no one wants to listen.		
""			
13	THE EXECUTIONER'S SONG, by Norman Mailler. (Little, Brown, $16.95.) The life	11	17
""	and death of Gary Gilmore.		
""			
14	THE LAST ENCHANTMENT, by Mary Stewart. (Morrow, $11.95.) Further	13	28
""	adventures of King Arthur.		
""			
15	MOVIOLA, by Garson Kanin. (Simon & Schuster, $9.95.) The movie business,	15	4
""	yesterday and today, seen through the eyes of an aging tycoon.		
This	February 17, 1980	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE BRETHREN, by Bob Woodward and Scott Armstrong. (Simon & Schuster,	1	8
""	$13.95.) Inside the Supreme Court.		
""			
2	AUNT ERMA'S COPE BOOK, by Erma Bombeck. (McGraw-Hill, $8.95.) How to	2	19
""	get from Monday to Friday... in 12 days.		
""			
3	ANATOMY OF AN ILLNESS, by Norman Cousins. (Norton, $9.95.) A patient's	3	13
""	account of his successful fight against a serious disease.		
""			
4	THE PRITIKIN PROGRAM, by Nathan Pritikin with Patrick M. McGrady, Jr.	4	39
""	(Grosset & Dunlap, $12.95.) A prescription for health and long life.		
""			
5	JAMES HERRIOT'S YORKSHIRE, by James Herriot. (St. Martin's Press, $15.) An	5	13
""	illustrated tour of the veterinarian's homeland.		
""			
6	THE RIGHT STUFF, by Tom Wolfe. (Farrar, Straus & Giroux, $12.95.) Project	7	19
""	Mercury, America's first manned space program, recalled in high style.		
""			
7	DONAHUE, by Phil Donahue. (Simon & Schuster, $9.95.) The host of the popular	--	1
""	television talk show tells his life story.		
""			
8	WHITE HOUSE YEARS, by Henry Kissinger. (Little, Brown, $22.50.) President	6	14
""	Nixon's foreign affairs advisor tells his own story, 1968-73.		
""			
9	HOW YOU CAN BECOME FINANCIALLY INDEPENDENT BY INVESTING IN	9	14
""	REAL ESTATE, by Albert J. Lowry. (Simon & Schuster, $10.95.) How-to.		
""			
10	FREE TO CHOOSE, by Milton Friedman and Rose Friedman. (Harcourt Brace	12	2
""	Jovanovich, $9.95.) The Nobel laureate economist and his wife discuss the		
""	relationship of government and the economy: tie-in to the current PBS series.		
""			
11	CRUEL SHOES, by Steve Martin. (Putnam's, $8.95.) Zany satire by a young	8	38
""	television comedian.		
""			
12	THE WINDSOR STORY, by J. Bryan III and Charles J.V. Murphy. (Morrow,	14	5
""	$17.50.) The long, lonely years the Duke and Duchess spent in exile.		
""			
13	SERPENTINE, by Thomas Thompson. (Doubleday, $12.95.) A quintessential con	10	14
""	man leaves a trail of murder and robbery around the globe.		
""			
14	THE AMERICANS, by Alistair Cooke. (Knopf, $10.95.) What Alistair Cooke told his	15	9
""	British radio listeners about us, 1969-79.		
""			
15	FEED YOUR KIDS RIGHT, by Lendon Smith, M.D. (McGraw-Hill, $9.95.) How to,	11	11
""	by a pediatrician.		
