This	August 21, 1988	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE CARDINAL OF THE KREMLIN, by Tom Clancy. (Putnam, $19.95.) The	1	3
""	C.I.A.'s Jack Ryan races to the rescue of America's highest-ranking secret agent		
""	in the Soviet Union.		
""			
2	ALASKA, by James A. Michener. (Random House, $22.50.) The history of the	2	8
""	49th state told in fictional form.		
""			
3	TILL WE MEET AGAIN, by Judith Krantz. (Crown, $19.95.) The exploits of a	9	2
""	woman and her two daughters from pre-World War I Paris to present-day Los		
""	Angeles.		
""			
4	TO BE THE BEST, by Barbara Taylor Bradford. (Doubleday, $19.95.) The Harte	3	7
""	department store dynasty, founded by ''a woman of substance,'' undergoes		
""	emotional and financial strains.		
""			
5	DOCTORS, by Erich Segal. (Bantam, $19.95.) The life stories of five members of	4	4
""	Harvard Medical School's class of 1962.		
""			
6	THE BONFIRE OF THE VANITIES, by Tom Wolfe. (Farrar, Straus & Giroux,	5	42
""	$19.95.) A bond trader caught in the jungles of New York.		
""			
7	ZOYA, by Danielle Steel. (Delacorte, $19.95.) One woman's story, from St.	6	15
""	Petersburg during the Russian Revolution to contemporary New York.		
""			
8	LOVE IN THE TIME OF CHOLERA, by Gabriel Garcia Marquez. (Knopf, $18.95.)	8	18
""	A Colombian poet's perdurable love for a woman is tested by life's changing		
""	conditions.		
""			
9	TIMOTHY'S GAME, by Lawrence Sanders. (Putnam, $18.95.) A stock market	7	6
""	operator investigates scams on Wall Street.		
""			
10	SHINING THROUGH, by Susan Isaacs. (Harper & Row, $18.95.) The progress of	--	1
""	a Queens woman from Wall Street secretary to wife of her boss to spy in Nazi		
""	Germany.		
""			
11	A THIEF OF TIME, by Tony Hillerman. (Harper & Row, $15.95.) Tracking down a	11	7
""	missing archeologist, missing artifacts and a murderer in the Indian ruins of New		
""	Mexico.		
""			
12	THE ICARUS AGENDA, by Robert Ludlum. (Random House, $19.95.) A	10	24
""	congressman's secret dealings with terrorists may bring him the Presidency - or		
""	death.		
""			
13	THE SHELL SEEKERS, by Rosamunde Pilcher. (St. Martin's, $19.95.) A woman	12	27
""	and a painting tie together three generations of an English family.		
""			
14	LIBRA, by Don DeLillo. (Viking, $19.95.) Fictional speculation that President	13	2
This	August 21, 1988	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	A BRIEF HISTORY OF TIME, by Stephen W. Hawking. (Bantam, $18.95.) A	1	18
""	British scientist's review of efforts to create a unified theory of the universe.		
""			
2	TALKING STRAIGHT, by Lee Iacocca with Sonny Kleinfield. (Bantam, $21.95.)	3	10
""	More experiences and opinions of the Chrysler chairman.		
""			
3	GENERATION OF SWINE, by Hunter S. Thompson. (Summit, $18.95.)	4	6
""	Commentary on the current decade.		
""			
4	TRUMP, by Donald J. Trump with Tony Schwartz. (Random House, $19.95.) The	2	36
""	career and business style of the New York entrepreneur.		
""			
5	THE DUCHESS OF WINDSOR, by Charles Higham. (McGraw-Hill, $17.95.) The	5	5
""	life of the woman from Baltimore who married King Edward VIII.		
""			
6	RIDING THE IRON ROOSTER, by Paul Theroux. (Putnam, $21.95.) A yearlong	6	10
""	journey by train through China.		
""			
7	SENATORIAL PRIVILEGE, by Leo Damore. (Regnery Gateway, $19.95.) A	13	2
""	reporter's reassessment of the 1969 accident on Chappaquiddick Island.		
""			
8	CAPOTE, by Gerald Clarke. (Simon & Schuster, $22.95.) The life of Truman	7	9
""	Capote.		
""			
9	THE RISE AND FALL OF THE GREAT POWERS, by Paul Kennedy. (Random	10	29
""	House, $24.95.) How economic and military forces affected the fortunes of great		
""	nations in the past 500 years.		
""			
10	THRIVING ON CHAOS, by Tom Peters. (Knopf, $19.95.) The author discusses	8	40
""	ways for companies to survive in today's and tomorrow's turbulent world.		
""			
11	FIREFIGHTERS, by Dennis Smith. (Doubleday, $18.95.) Three dozen men and	--	1
""	women from all parts of the country recall their most exciting experiences.		
""			
12	PICASSO, by Arianna Stassinopoulos Huffington. (Simon & Schuster, $22.95.) A	12	9
""	portrait of the artist as ''creator and destroyer.''		
""			
13	A TRAIL OF MEMORIES, edited by Angelique L'Amour. (Bantam, $12.95.)	9	10
""	Quotations from the works of Louis L'Amour, compiled by his daughter.		
""			
14	ALMOST GOLDEN, by Gwenda Blair. (Simon & Schuster, $18.95.) The career of	14	3
""	the television anchorwoman Jessica Savitch and the ways of newscasting during		
""	the past two decades.		
""			
15	CHAOS, by James Gleick. (Viking, $19.95.) An account of a fast-developing new	11	27
""	science that involves disorder, arrhythmia and the bizarre and the random in		
""	nature.		
