This	September 5, 1982	Last	Weeks
Week	Fiction	Week	On List
""			
1	DIFFERENT SEASONS, by Stephen King. (Viking, $16.95.) Four novellas with	1	5
""	mainly nonhorror themes by a modern master of horror.		
""			
2	THE PRODIGAL DAUGHTER, by Jeffrey Archer. (Linden Press, $15.95.) A	2	14
""	sequel to the author's ''Kane & Abel'' in which two children of those antagonists		
""	marry one another.		
""			
3	THE CASE OF LUCY BENDING, by Lawrence Sanders. (Putnam's, $13.95.) A	4	7
""	psychiatrist finds that an aberrant 8-year-old girl epitomizes the society of Florida's		
""	Gold Coast, where she lives.		
""			
4	THE PARSIFAL MOSAIC, by Robert Ludlum. (Random House, $15.95.) Michael	3	25
""	Havelock saves the world from nuclear extinction.		
""			
5	E.T. THE EXTRA-TERRESTRIAL STORYBOOK, by William Kotzwinkle. (Putnam,	11	2
""	$6.95.) Abridged, profusely illustrated version of the novelization of the current		
""	film.		
""			
6	THE MAN FROM ST. PETERSBURG, by Ken Follett. (Morrow, $14.50.) A	6	17
""	Russian terrorist collides with his own romantic past during a mission to Britain on		
""	the eve of World War I.		
""			
7	CINNAMON SKIN, by John D. MacDonald. (Harper & Row, $13.95.) Travis	5	10
""	McGee investigates a suspicious accident that befalls a friend's family at sea.		
""			
8	LACE, by Shirley Conran. (Simon & Schuster, $16.95.) Three decades in the lives	15	2
""	of a coterie of members of the international glitter set.		
""			
9	MASTER OF THE GAME, by Sidney Sheldon. (Morrow, $15.45.) The hidden truth	--	1
""	behind a woman business tycoon's rise to power.		
""			
10	EDEN BURNING, by Belva Plain. (Delacorte, $15.95.) Romance and political	7	13
""	upheaval on a Caribbean island.		
""			
11	THE VALLEY OF HORSES, by Jean M. Auel. (Crown, $15.95.) Continuing the	--	1
""	saga of human survival at the dawn of civilization begun in ''The Clan of the Cave		
""	Bear.''		
""			
12	TOUCH THE DEVIL, by Jack Higgins. (Stein & Day, $14.95.) Terrorist stalks	10	4
""	terrorist at the behest of Britain's antiterrorism chief.		
""			
13	NORTH AND SOUTH, by John Jakes. (Harcourt Brace Jovanovich, $14.95.) The	8	31
""	friendship of two wealthy families - one in Pennsylvania, the other in Carolina - is		
""	strained by the Civil War.		
""			
14	THE ONE TREE, by Stephen R. Donaldson. (Ballantine/Del Rey, $14.50.) Book	9	19
""	Two in the fantasy series ''The Second Chronicles of Thomas Covenant.''		
This	September 5, 1982	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	LIFE EXTENSION, by Durk Pearson and Sandy Shaw. (Warner, $22.50.) Ways to	1	6
""	add years to your life and life to your years: a popularly written medical-science		
""	book.		
""			
2	JANE FONDA'S WORKOUT BOOK, by Jane Fonda. (Simon & Schuster, $18.95.)	2	33
""	An exercise book for women, seasoned with the film star's philosophy of physical		
""	well-being		
""			
3	LIVING, LOVING & LEARNING, by Leo Buscaglia. (Holt/Slack, $13.50.)	4	20
""	Inspirational talks by a University of Southern California professor.		
""			
4	WHEN BAD THINGS HAPPEN TO GOOD PEOPLE, by Harold S. Kushner.	3	30
""	(Schocken, $10.95.) Comforting thoughts from a rabbi.		
""			
5	EDIE, by Jean Stein, edited with George Plimpton. (Knopf, $16.95.) Edie	6	6
""	Sedgwick, minor celebrity of the 60's, remembered by friends and acquaintances.		
""			
6	RICHARD SIMMONS' NEVER-SAY-DIET COOKBOOK. (Warner, $15.95.) More	7	12
""	than 100 recipes by the Hollywood television personality and exercise guru.		
""			
7	NO BAD DOGS: The Woodhouse Way, by Barbara Woodhouse. (Summit,	8	23
""	$12.50.) Advice on training dogs by a British expert: tie-in to a television series.		
""			
8	PRINCESS, by Robert Lacey. (Times Books, $16.95.) The life of the Princess of	5	8
""	Wales in words and pictures.		
""			
9	A LIGHT IN THE ATTIC, by Shel Silverstein. (Harper & Row, $12.45.) Humor in	9	44
""	cartoons and verse.		
""			
10	A FEW MINUTES WITH ANDY ROONEY, by Andrew A. Rooney. (Atheneum,	10	39
""	$12.95.) Reflections on contemporary life by the journalist and television		
""	commentator.		
""			
11	INDECENT EXPOSURE, by David McClintick. (Morrow, $17.) The scandal at	--	1
""	Columbia Pictures and Wall Street's part in it.		
""			
12	HOW TO MAKE LOVE TO A WOMAN, by Michael Morgenstern. (Clarkson N.	11	8
""	Potter, $10.95.) A lawyer tells men ''what women want.''		
""			
13	AMERICA IN SEARCH OF ITSELF: The Making of the President, 1 956-80, by	12	14
""	Theodore H. White. (Harper & Row/Cornelia & Michael Bessie, $15.95.) A		
""	summing-up by the historian of the modern Presidency.		
""			
14	THE UMPIRE STRIKES BACK, by Ron Luciano with David Fisher. (Bantam,	14	15
""	$12.95.) Memories of the oddball baseball umpire.		
""			
15	THE FATE OF THE EARTH, by Jonathan Schell. (Knopf, $11.95.) Essays on the	15	18
