Week	Fiction	Week	On List
""			
1	THE FIVE PEOPLE YOU MEET IN HEAVEN, by Mitch Albom. (Hyperion, $19.95.)	1	64
""	An old man who died while trying to rescue a little girl from danger discovers that all		
""	will be explained to him in the afterlife.		
""			
2	THE DA VINCI CODE, by Dan Brown. (Doubleday, $24.95.) The murder of a	2	91
""	curator at the Louvre leads to a trail of clues found in the work of Leonardo and to		
""	the discovery of a centuries-old secret society.		
""			
3	STATE OF FEAR, by Michael Crichton. (HarperCollins, $27.95.) Reverse eco-	--	1
""	terrorists create natural disasters to convince the public that global warming is real.		
""			
4	A SALTY PIECE OF LAND, by Jimmy Buffett. (Little, Brown, $27.95.) A cowboy's	3	2
""	life is changed forever when he meets a 101-year-old woman who hires him to be a		
""	lighthouse keeper in the southern Bahamas.		
""			
5	BLACK WIND, by Clive Cussler and Dirk Cussler. (Putnam, $27.95.) Dirk Pitt and	4	2
""	his children confront a villain who has acquired biotoxins from World War II.		
""			
6	LONDON BRIDGES, by James Patterson. (Little, Brown, $27.95.) The F.B.I. agent	6	5
""	Alex Cross contends with two deadly enemies: the supercriminal known as the		
""	Wolf and the assassin known as the Weasel.		
""			
7	NIGHT FALL, by Nelson DeMille. (Warner, $26.95.) A husband and wife who work	5	3
""	for an antiterrorism task force reopen the investigation into the crash of T.W.A.		
""	Flight 800 over the Atlantic, off Long Island, in 1996.		
""			
8	LIFE EXPECTANCY, by Dean Koontz. (Bantam, $27.) A pastry chef must struggle	--	1
""	all his life against a family of evil madmen.		
""			
9	I AM CHARLOTTE SIMMONS, by Tom Wolfe. (Farrar, Straus & Giroux, $28.95.) A	8	5
""	very smart, very innocent freshman from the Blue Ridge Mountains is amazed by		
""	what she finds at a prestigious university.		
""			
10	WHITEOUT, by Ken Follett. (Dutton, $26.95.) In the middle of a Christmas Eve	9	3
""	blizzard in Scotland, a canister filled with a deadly virus goes missing.		
""			
11	THE GODFATHER RETURNS, by Mark Winegardner. (Random House, $26.95.)	12	4
""	"Continuing the story begun in Mario Puzo's novel ""The Godfather."""		
""			
12	SKELETON MAN, by Tony Hillerman. (HarperCollins, $25.95.) Sgt. Jim Chee of the	7	3
""	Navajo Tribal Police and his mentor, the retired lieutenant Joe Leaphorn, join		
""	forces on a case involving stolen diamonds and murder.		
""			
13	THE CHRISTMAS THIEF, by Mary Higgins Clark and Carol Higgins Clark. (Simon	10	5
""	& Schuster/Scribner, $21.) Hidden treasure lies within the branches of a giant blue		
""	spruce destined for Rockefeller Center.		
""			
14	THE PLOT AGAINST AMERICA, by Philip Roth. (Houghton Mifflin, $26.) The	14	12
""	experiences of a Jewish family in Newark after Charles A. Lindbergh defeats		
This	December 26, 2004	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	AMERICA (THE BOOK), by Jon Stewart, Ben Karlin and David Javerbaum.	1	12
""	"(Warner, $24.95.) ""The Daily Show"" offers a lavishly illustrated parody of a civics"		
""	textbook.		
""			
2	CHRONICLES: VOLUME ONE, by Bob Dylan. (Simon & Schuster, $24.)	6	10
""	Recollections and observations from the singer/songwriter.		
""			
3	FAITHFUL, by Stewart O'Nan and Stephen King. (Scribner, $26.) Two novelists —	4	3
""	and die-hard Boston Red Sox fans — chronicle the 2004 championship season,		
""	from spring training to the World Series.		
""			
4	HIS EXCELLENCY, by Joseph J. Ellis. (Knopf, $26.95.) A biography of George	3	7
""	"Washington, by the author of ""Founding Brothers."""		
""			
5	WHEN WILL JESUS BRING THE PORK CHOPS? by George Carlin. (Hyperion,	2	9
""	$23.95.) Another volume of observations and opinions from the stand-up		
""	comedian.		
""			
6	LEARNING TO SING, by Clay Aiken with Allison Glock. (Random House, $21.95.)	8	4
""	"An ""inspirational memoir"" by the ""American Idol"" runner-up in 2003."		
""			
7	EATS, SHOOTS & LEAVES, by Lynne Truss. (Gotham, $17.50.) An	9	36
""	Englishwoman expounds on the use and misuse of punctuation marks.		
""			
8	THE GAMES DO COUNT, by Brian Kilmeade. (ReganBooks/HarperCollins,	7	5
""	$24.95.) Celebrities and politicians discuss how sports changed their lives.		
""			
9	HOW TO TALK TO A LIBERAL (IF YOU MUST), by Ann Coulter. (Crown Forum,	11	10
""	$26.95.) A collection of the columnist's writing about what's wrong with liberals.		
""			
10	MY LIFE, by Bill Clinton. (Knopf, $35.) From Hope, Ark., to the White House: the	10	25
""	autobiography of the 42nd president.		
""			
11	SPORTS ILLUSTRATED: THE ANNIVERSARY BOOK. (Sports Illustrated/Time	--	1
""	Inc., $29.95.) Fifty years of writing and pictures from the magazine.		
""			
12	FAVRE, by Brett Favre and Bonita Favre with Chris Havel. (N.F.L. Publishing/	5	5
""	RuggedLand, $29.95.) A profusely illustrated book about the quarterback.		
""			
13	WILL IN THE WORLD, by Stephen Greenblatt. (Norton, $26.95.) A Harvard	14	6
""	professor explains how Shakespeare became the greatest of all playwrights.		
""			
14	WHAT'S THE MATTER WITH KANSAS? by Thomas Frank. (Metropolitan/Holt,	13	15
""	$24.) An examination of what the author calls the Great Backlash, in which		
""	"conservatives ""won the heart of America."""		
""			
15	THE LAST SEASON, by Phil Jackson with Michael Arkush. (Penguin Press,	15	8
